x,l,q,as,al,alsquare,as10term,al10term,as20term,al20term,5ex,10ex,20ex
50,98576.40,0.001209,17.0245,0.18931,0.05108,8.055,0.61643,12.8428,0.38844,0.77772,0.60182,0.34824
51,98457.20,0.001331,16.8461,0.1978,0.05517,8.0494,0.6167,12.8161,0.38971,0.77711,0.6005,0.34503
52,98326.20,0.001469,16.6606,0.20664,0.05957,8.0431,0.617,12.7862,0.39113,0.77643,0.59902,0.34146
53,98181.80,0.001623,16.4678,0.21582,0.0643,8.036,0.61733,12.7527,0.39273,0.77566,0.59736,0.33749
54,98022.40,0.001797,16.2676,0.22535,0.06938,8.0281,0.61771,12.7154,0.39451,0.77479,0.5955,0.33308
55,97846.20,0.001993,16.0599,0.23524,0.07483,8.0192,0.61813,12.6737,0.39649,0.77382,0.59342,0.32819
56,97651.20,0.002212,15.8444,0.2455,0.08067,8.0092,0.61861,12.6271,0.39871,0.77273,0.59109,0.32279
57,97435.20,0.002459,15.6212,0.25613,0.08692,7.998,0.61914,12.5752,0.40118,0.77151,0.58848,0.31681
58,97195.60,0.002736,15.3901,0.26714,0.0936,7.9854,0.61974,12.5174,0.40393,0.77014,0.58556,0.31024
59,96929.60,0.003048,15.1511,0.27852,0.10073,7.9713,0.62041,12.4531,0.407,0.7686,0.58229,0.303
60,96634.10,0.003398,14.9041,0.29028,0.10834,7.9555,0.62116,12.3816,0.4104,0.76687,0.57864,0.29508
61,96305.80,0.003792,14.6491,0.30243,0.11644,7.9379,0.62201,12.3024,0.41417,0.76493,0.57457,0.28641
62,95940.60,0.004234,14.3861,0.31495,0.12506,7.9181,0.62295,12.2145,0.41836,0.76276,0.57003,0.27698
63,95534.40,0.00473,14.1151,0.32785,0.13421,7.896,0.624,12.1174,0.42298,0.76033,0.56496,0.26674
64,95082.50,0.005288,13.8363,0.34113,0.14392,7.8712,0.62518,12.0101,0.42809,0.7576,0.55932,0.25569
65,94579.70,0.005915,13.5498,0.35477,0.1542,7.8435,0.6265,11.892,0.43371,0.75455,0.55305,0.24381
66,94020.30,0.006619,13.2557,0.36878,0.16507,7.8126,0.62797,11.7622,0.4399,0.75114,0.54609,0.23112
67,93398.10,0.007409,12.9542,0.38313,0.17654,7.7781,0.62961,11.6199,0.44667,0.74732,0.53836,0.21764
68,92706.10,0.008297,12.6456,0.39783,0.18862,7.7396,0.63145,11.4643,0.45408,0.74305,0.52981,0.20343
69,91936.90,0.009294,12.3302,0.41285,0.20133,7.6968,0.63349,11.2949,0.46215,0.73828,0.52036,0.18856
70,91082.40,0.010413,12.0083,0.42818,0.21467,7.6491,0.63576,11.1109,0.47091,0.73295,0.50994,0.17313
71,90134.00,0.01167,11.6803,0.44379,0.22864,7.5961,0.63828,10.9118,0.48039,0.72701,0.49848,0.1573
72,89082.10,0.013081,11.3468,0.45968,0.24324,7.5373,0.64108,10.6974,0.4906,0.72039,0.4859,0.14122
73,87916.80,0.014664,11.0081,0.4758,0.25847,7.4721,0.64419,10.4675,0.50155,0.71303,0.47215,0.12511
74,86627.60,0.01644,10.6649,0.49215,0.27433,7.3999,0.64762,10.2221,0.51323,0.70483,0.45715,0.10918
75,85203.50,0.018433,10.3178,0.50868,0.29079,7.3203,0.65142,9.9616,0.52564,0.69574,0.44085,0.09368
76,83632.90,0.020668,9.9674,0.52536,0.30783,7.2325,0.6556,9.6866,0.53873,0.68566,0.42323,0.07887
77,81904.30,0.023175,9.6145,0.54217,0.32544,7.136,0.66019,9.398,0.55247,0.6745,0.40427,0.065
78,80006.20,0.025984,9.2598,0.55906,0.34359,7.0302,0.66523,9.097,0.56681,0.66217,0.38396,0.0523
79,77927.40,0.029132,8.9042,0.57599,0.36224,6.9146,0.67074,8.785,0.58166,0.64859,0.36235,0.04096
80,75657.20,0.032658,8.5484,0.59293,0.38134,6.7885,0.67674,8.4639,0.59696,0.63365,0.33952,0.03113
81,73186.30,0.036607,8.1934,0.60984,0.40086,6.6517,0.68325,8.1354,0.6126,0.61727,0.31556,0.02286
82,70507.20,0.041025,7.8401,0.62666,0.42075,6.5037,0.6903,7.8018,0.62848,0.59936,0.29064,0.01616
83,67614.60,0.045968,7.4893,0.64336,0.44094,6.3443,0.69789,7.4651,0.64452,0.57985,0.26498,0.01094
84,64506.50,0.051493,7.1421,0.6599,0.46137,6.1735,0.70602,7.1275,0.66059,0.55868,0.23882,0.00706
85,61184.90,0.057665,6.7993,0.67622,0.48199,5.9915,0.71469,6.791,0.67662,0.53581,0.2125,0.00431
86,57656.70,0.064554,6.4619,0.69229,0.50272,5.7986,0.72388,6.4574,0.6925,0.51122,0.18635,0.00248
87,53934.70,0.072237,6.1308,0.70806,0.52349,5.5954,0.73355,6.1285,0.70817,0.48492,0.16079,0.00133
88,50038.60,0.080798,5.8068,0.72349,0.54422,5.3828,0.74368,5.8057,0.72354,0.45697,0.13621,0.00066
89,45995.60,0.090326,5.4908,0.73853,0.56484,5.162,0.75419,5.4903,0.73856,0.42748,0.11305,0.0003
90,41841.10,0.100917,5.1835,0.75317,0.58528,4.9346,0.76502,5.1833,0.75317,0.39659,0.09168,0.00012
91,37618.60,0.112675,4.8858,0.76735,0.60545,4.7021,0.77609,4.8857,0.76735,0.36453,0.07244,0.00005
92,33379.90,0.125708,4.5981,0.78104,0.62529,4.4665,0.78731,4.5981,0.78104,0.33158,0.05559,0.00002
93,29183.80,0.140128,4.3213,0.79423,0.64472,4.2299,0.79858,4.3213,0.79423,0.29808,0.04128,0
94,25094.30,0.156052,4.0556,0.80688,0.66368,3.9945,0.80979,4.0556,0.80688,0.26445,0.02955,0
95,21178.30,0.173599,3.8017,0.81897,0.68209,3.7624,0.82084,3.8017,0.81897,0.23116,0.02029,0
96,17501.80,0.192887,3.5597,0.83049,0.69991,3.5356,0.83164,3.5597,0.83049,0.19872,0.0133,0
97,14125.90,0.21403,3.33,0.84143,0.71708,3.3159,0.8421,3.33,0.84143,0.16765,0.00827,0
98,11102.50,0.237134,3.1127,0.85177,0.73356,3.105,0.85214,3.1127,0.85177,0.1385,0.00485,0
99,8469.70,0.262294,2.9079,0.86153,0.7493,2.9039,0.86172,2.9079,0.86153,0.11173,0.00266,0
100,6248.20,0.289584,2.7156,0.87068,0.76427,2.7137,0.87078,2.7156,0.87068,0.08777,0.00136,0
